seed,category,n_fit,n_validation,n_test,target_fallback_count,actual_fallback_count,actual_fallback_rate,threshold,fast_only_auroc,fast_only_recall_at_fpr,random_fallback_auroc,random_fallback_recall_at_fpr,risk_fallback_auroc,risk_fallback_recall_at_fpr,full_only_auroc,full_only_recall_at_fpr
17,bottle,167,42,83,72,72,0.8674698795180723,0.03657766990363598,0.9515873015873015,0.6984126984126984,0.8920634920634921,0.873015873015873,0.9865079365079366,0.9841269841269841,1.0,1.0
17,cable,179,45,150,106,106,0.7066666666666667,0.08165253698825836,0.7880434782608695,0.2717391304347826,0.7822338830584707,0.6956521739130435,0.8974887556221889,0.7934782608695652,0.9915667166416792,0.9239130434782609
17,capsule,175,44,132,86,86,0.6515151515151515,0.032839265652000904,0.7299561228560032,0.23853211009174313,0.7447147985640208,0.5321100917431193,0.8137215795771839,0.44036697247706424,0.9170323095333067,0.5045871559633027
17,carpet,224,56,117,90,90,0.7692307692307693,0.06526035442948341,0.521669341894061,0.056179775280898875,0.790529695024077,0.7303370786516854,0.8463081861958266,0.8089887640449438,0.9767255216693419,0.9325842696629213
17,grid,211,53,78,22,22,0.28205128205128205,0.11743265390396118,0.46365914786967416,0.05263157894736842,0.49874686716791977,0.22807017543859648,0.4928989139515455,0.12280701754385964,0.7827903091060986,0.19298245614035087
17,hazelnut,313,78,110,74,74,0.6727272727272727,0.08480099588632584,0.9189285714285714,0.6714285714285714,0.7160714285714286,0.6285714285714286,0.9603571428571429,0.9,0.9992857142857143,0.9857142857142858
17,leather,196,49,124,124,124,1.0,0.054528139531612396,0.9069293478260869,0.7391304347826086,1.0,1.0,1.0,1.0,1.0,1.0
17,metal_nut,176,44,115,87,87,0.7565217391304347,0.06388954818248749,0.7849462365591398,0.4946236559139785,0.7634408602150538,0.6989247311827957,0.8724340175953079,0.8172043010752689,0.9716520039100685,0.9354838709677419
17,pill,214,53,167,93,93,0.5568862275449101,0.05936534330248833,0.7525913802509547,0.3191489361702128,0.7201309328968903,0.41134751773049644,0.7755046372067649,0.5957446808510638,0.8458810692853246,0.5390070921985816
17,screw,256,64,160,106,106,0.6625,0.060081370174884796,0.5361754457880713,0.06722689075630252,0.6386554621848739,0.24369747899159663,0.6382455421192867,0.3277310924369748,0.7304775568764091,0.3865546218487395
17,tile,184,46,117,87,87,0.7435897435897436,0.08877651952207088,0.8867243867243867,0.6666666666666666,0.7904040404040404,0.7380952380952381,0.9246031746031746,0.8809523809523809,0.9985569985569985,0.9880952380952381
17,toothbrush,48,12,42,32,32,0.7619047619047619,0.040911841206252575,0.9722222222222222,0.9,0.8277777777777777,0.6666666666666666,0.9583333333333334,0.8333333333333334,0.9416666666666667,0.8333333333333334
17,transistor,170,43,100,51,51,0.51,0.059914203360676765,0.8425,0.475,0.7933333333333333,0.55,0.8729166666666667,0.725,0.9604166666666667,0.825
17,wood,198,49,79,79,79,1.0,0.09730405360460281,0.7526315789473684,0.45,0.9815789473684211,0.8833333333333333,0.9815789473684211,0.8833333333333333,0.9815789473684211,0.8833333333333333
17,zipper,192,48,151,135,135,0.8940397350993378,0.05566349904984236,0.9283088235294118,0.7647058823529411,0.8933823529411765,0.7142857142857143,0.9566701680672269,0.7899159663865546,0.979516806722689,0.7899159663865546
29,bottle,167,42,83,73,73,0.8795180722891566,0.03737940266728401,0.9444444444444444,0.6984126984126984,0.8412698412698413,0.8412698412698413,0.9865079365079366,0.9841269841269841,1.0,1.0
29,cable,179,45,150,116,116,0.7733333333333333,0.0804360955953598,0.800599700149925,0.358695652173913,0.8152173913043478,0.717391304347826,0.9107946026986506,0.8152173913043478,0.9910044977511244,0.8913043478260869
29,capsule,175,44,132,76,76,0.5757575757575758,0.034564622677862644,0.7407259672915836,0.25688073394495414,0.686477861986438,0.27522935779816515,0.79936178699641,0.3944954128440367,0.9090546469884324,0.44954128440366975
29,carpet,224,56,117,85,85,0.7264957264957265,0.06674323230981827,0.5377207062600321,0.056179775280898875,0.7491974317817014,0.6741573033707865,0.8210272873194222,0.7640449438202247,0.9747191011235955,0.9325842696629213
29,grid,211,53,78,34,34,0.4358974358974359,0.10442543029785156,0.529657477025898,0.10526315789473684,0.6240601503759399,0.40350877192982454,0.5597326649958229,0.19298245614035087,0.8245614035087719,0.3333333333333333
29,hazelnut,313,78,110,68,68,0.6181818181818182,0.08590584807097912,0.9017857142857143,0.5714285714285714,0.6992857142857143,0.5857142857142857,0.9321428571428572,0.8285714285714286,1.0,1.0
29,leather,196,49,124,124,124,1.0,0.05624355748295784,0.9137228260869565,0.75,1.0,1.0,1.0,1.0,1.0,1.0
29,metal_nut,176,44,115,92,92,0.8,0.06232720986008644,0.8005865102639296,0.4838709677419355,0.8264907135874878,0.7741935483870968,0.8924731182795699,0.8602150537634409,0.9736070381231672,0.9354838709677419
29,pill,214,53,167,69,69,0.41317365269461076,0.062099605798721313,0.7749590834697218,0.3049645390070922,0.6467539552645936,0.3262411347517731,0.7776868521549373,0.4326241134751773,0.8434260774686306,0.5106382978723404
29,screw,256,64,160,105,105,0.65625,0.060562919825315475,0.5355605656896905,0.04201680672268908,0.5769624923139988,0.23529411764705882,0.641729862676778,0.3277310924369748,0.735191637630662,0.4117647058823529
29,tile,184,46,117,85,85,0.7264957264957265,0.08880444802343845,0.9007936507936508,0.6904761904761905,0.7954545454545454,0.7261904761904762,0.9289321789321789,0.8809523809523809,0.9989177489177489,0.9880952380952381
29,toothbrush,48,12,42,30,30,0.7142857142857143,0.042762018740177155,0.9722222222222222,0.9333333333333333,0.7833333333333333,0.6,0.9527777777777777,0.8,0.9472222222222222,0.8333333333333334
29,transistor,170,43,100,39,39,0.39,0.06207428686320782,0.82625,0.45,0.705,0.375,0.8483333333333334,0.65,0.9595833333333333,0.825
29,wood,198,49,79,79,79,1.0,0.09349916875362396,0.75,0.48333333333333334,0.9815789473684211,0.8833333333333333,0.9815789473684211,0.8833333333333333,0.9815789473684211,0.8833333333333333
29,zipper,192,48,151,138,138,0.9139072847682119,0.054326195269823074,0.9133403361344538,0.7394957983193278,0.9044117647058824,0.7310924369747899,0.9627100840336135,0.8067226890756303,0.9805672268907563,0.8067226890756303
41,bottle,167,42,83,68,68,0.8192771084337349,0.03815263602882624,0.9547619047619048,0.7142857142857143,0.8563492063492063,0.8253968253968254,0.9825396825396825,0.9682539682539683,1.0,1.0
